,lga,year,lga_population
4362,whyalla,2019,22073
4363,whyalla,2020,22036
4364,whyalla,2021,21954
4365,whyalla,2022,21887
4366,whyalla,2023,21902
4367,townsville,2013,186519
4368,townsville,2014,188777
4369,townsville,2015,190011
4370,townsville,2016,191348
4371,townsville,2017,192475
4372,townsville,2018,193105
4373,townsville,2019,193687
4374,townsville,2020,194679
4375,townsville,2021,195457
4376,townsville,2022,198134
4377,townsville,2023,201433
4378,belyuen,2013,199
4379,belyuen,2014,188
4380,belyuen,2015,182
4381,belyuen,2016,175
4382,belyuen,2017,172
4383,belyuen,2018,169
4384,belyuen,2019,168
4385,belyuen,2020,167
4386,belyuen,2021,165
4387,belyuen,2022,165
4388,belyuen,2023,166
4389,lachlan,2013,6681
4390,lachlan,2014,6624
4391,lachlan,2015,6541
4392,lachlan,2016,6444
4393,lachlan,2017,6403
4394,lachlan,2018,6341
4395,lachlan,2019,6273
4396,lachlan,2020,6223
4397,lachlan,2021,6153
4398,lachlan,2022,6138
4399,lachlan,2023,6147
4400,brisbane,2013,1131996
4401,brisbane,2014,1149107
4402,brisbane,2015,1165437
4403,brisbane,2016,1184752
4404,brisbane,2017,1206960
4405,brisbane,2018,1226938
4406,brisbane,2019,1247133
4407,brisbane,2020,1263500
4408,brisbane,2021,1262968
4409,brisbane,2022,1283432
4410,brisbane,2023,1323162
4411,west torrens,2013,58153
4412,west torrens,2014,58627
4413,west torrens,2015,59075
4414,west torrens,2016,59408
4415,west torrens,2017,59809
4416,west torrens,2018,60542
4417,west torrens,2019,61562
4418,west torrens,2020,62573
4419,west torrens,2021,62425
4420,west torrens,2022,63115
4421,west torrens,2023,64519
4422,ashburton,2013,12025
4423,ashburton,2014,12515
4424,ashburton,2015,13002
4425,ashburton,2016,13311
4426,ashburton,2017,12208
4427,ashburton,2018,11144
4428,ashburton,2019,10018
4429,ashburton,2020,8927
4430,ashburton,2021,7781
4431,ashburton,2022,7843
4432,ashburton,2023,8076
4433,croydon,2013,308
4434,croydon,2014,303
4435,croydon,2015,297
4436,croydon,2016,296
4437,croydon,2017,288
4438,croydon,2018,280
4439,croydon,2019,272
4440,croydon,2020,269
4441,croydon,2021,269
4442,croydon,2022,268
4443,croydon,2023,270
4444,dundas,2013,1069
4445,dundas,2014,979
4446,dundas,2015,894
4447,dundas,2016,788
4448,dundas,2017,759
4449,dundas,2018,728
4450,dundas,2019,706
4451,dundas,2020,698
4452,dundas,2021,699
4453,dundas,2022,695
4454,dundas,2023,701
4455,cranbrook,2013,1129
4456,cranbrook,2014,1131
4457,cranbrook,2015,1119
4458,cranbrook,2016,1107
4459,cranbrook,2017,1110
4460,cranbrook,2018,1110
4461,cranbrook,2019,1115
4462,cranbrook,2020,1122
4463,cranbrook,2021,1134
4464,cranbrook,2022,1141
4465,cranbrook,2023,1149
4466,kiama,2013,21262
4467,kiama,2014,21612
4468,kiama,2015,21890
4469,kiama,2016,22110
4470,kiama,2017,22299
4471,kiama,2018,22479
4472,kiama,2019,22711
4473,kiama,2020,22873
4474,kiama,2021,22970
4475,kiama,2022,22964
4476,kiama,2023,23002
4477,eurobodalla,2013,37270
4478,eurobodalla,2014,37483
4479,eurobodalla,2015,37733
4480,eurobodalla,2016,37919
4481,eurobodalla,2017,38372
4482,eurobodalla,2018,38816
4483,eurobodalla,2019,39290
4484,eurobodalla,2020,39917
4485,eurobodalla,2021,40464
4486,eurobodalla,2022,40752
4487,eurobodalla,2023,40912
4488,beverley,2013,1692
4489,beverley,2014,1707
4490,beverley,2015,1732
4491,beverley,2016,1748
4492,beverley,2017,1740
4493,beverley,2018,1741
4494,beverley,2019,1746
4495,beverley,2020,1738
4496,beverley,2021,1735
4497,beverley,2022,1738
4498,beverley,2023,1768
4499,northampton,2013,3432
4500,northampton,2014,3389
4501,northampton,2015,3357
4502,northampton,2016,3335
4503,northampton,2017,3305
4504,northampton,2018,3277
4505,northampton,2019,3263
4506,northampton,2020,3279
4507,northampton,2021,3332
4508,northampton,2022,3343
4509,northampton,2023,3369
4510,bulloo,2013,396
4511,bulloo,2014,388
4512,bulloo,2015,372
4513,bulloo,2016,356
4514,bulloo,2017,347
4515,bulloo,2018,343
4516,bulloo,2019,340
4517,bulloo,2020,340
4518,bulloo,2021,342
4519,bulloo,2022,343
4520,bulloo,2023,346
4521,trayning,2013,366
4522,trayning,2014,364
4523,trayning,2015,358
4524,trayning,2016,354
4525,trayning,2017,344
4526,trayning,2018,335
4527,trayning,2019,330
4528,trayning,2020,317
4529,trayning,2021,307
4530,trayning,2022,304
4531,trayning,2023,303
4532,glen eira,2013,141260
4533,glen eira,2014,143694
4534,glen eira,2015,145924
4535,glen eira,2016,148583
4536,glen eira,2017,150702
4537,glen eira,2018,152389
4538,glen eira,2019,153936
4539,glen eira,2020,154656
4540,glen eira,2021,150638
4541,glen eira,2022,151824
4542,glen eira,2023,156837
4543,mansfield,2013,8276
4544,mansfield,2014,8395
4545,mansfield,2015,8530
4546,mansfield,2016,8674
4547,mansfield,2017,8897
4548,mansfield,2018,9153
4549,mansfield,2019,9417
4550,mansfield,2020,9792
4551,mansfield,2021,10121
4552,mansfield,2022,10338
4553,mansfield,2023,10546
4554,inner west,2013,184297
4555,inner west,2014,186495
4556,inner west,2015,188711
4557,inner west,2016,191194
4558,inner west,2017,192275
4559,inner west,2018,192661
4560,inner west,2019,191965
4561,inner west,2020,190035
4562,inner west,2021,183839
4563,inner west,2022,183153
4564,inner west,2023,188325
4565,yorke peninsula,2013,11241
4566,yorke peninsula,2014,11254
4567,yorke peninsula,2015,11267
4568,yorke peninsula,2016,11291
4569,yorke peninsula,2017,11375
4570,yorke peninsula,2018,11475
4571,yorke peninsula,2019,11581
4572,yorke peninsula,2020,11681
4573,yorke peninsula,2021,11830
4574,yorke peninsula,2022,11916
4575,yorke peninsula,2023,12040
4576,shark bay,2013,936
4577,shark bay,2014,948
4578,shark bay,2015,965
4579,shark bay,2016,963
4580,shark bay,2017,962
4581,shark bay,2018,986
4582,shark bay,2019,1000
4583,shark bay,2020,1041
4584,shark bay,2021,1069
4585,shark bay,2022,1082
4586,shark bay,2023,1129
4587,wyalkatchem,2013,541
4588,wyalkatchem,2014,535
4589,wyalkatchem,2015,533
4590,wyalkatchem,2016,522
4591,wyalkatchem,2017,515
4592,wyalkatchem,2018,501
4593,wyalkatchem,2019,492
4594,wyalkatchem,2020,492
4595,wyalkatchem,2021,484
4596,wyalkatchem,2022,485
4597,wyalkatchem,2023,491
4598,katherine,2013,10761
4599,katherine,2014,10744
4600,katherine,2015,10671
4601,katherine,2016,10541
4602,katherine,2017,10624
4603,katherine,2018,10672
4604,katherine,2019,10721
4605,katherine,2020,10716
4606,katherine,2021,10679
4607,katherine,2022,10834
4608,katherine,2023,10829
4609,loxton waikerie,2013,11571
4610,loxton waikerie,2014,11671
4611,loxton waikerie,2015,11716
4612,loxton waikerie,2016,11730
4613,loxton waikerie,2017,11731
4614,loxton waikerie,2018,11775
4615,loxton waikerie,2019,11830
4616,loxton waikerie,2020,11861
4617,loxton waikerie,2021,11921
4618,loxton waikerie,2022,11923
4619,loxton waikerie,2023,11897
4620,lockhart,2013,3096
4621,lockhart,2014,3117
4622,lockhart,2015,3121
4623,lockhart,2016,3173
4624,lockhart,2017,3208
4625,lockhart,2018,3218
4626,lockhart,2019,3266
4627,lockhart,2020,3308
4628,lockhart,2021,3328
4629,lockhart,2022,3370
4630,lockhart,2023,3396
4631,macedon ranges,2013,44595
4632,macedon ranges,2014,45471
4633,macedon ranges,2015,46373
4634,macedon ranges,2016,47480
4635,macedon ranges,2017,48415
4636,macedon ranges,2018,49302
4637,macedon ranges,2019,50162
4638,macedon ranges,2020,50894
4639,macedon ranges,2021,51599
4640,macedon ranges,2022,52202
4641,macedon ranges,2023,52920
4642,yalgoo,2013,426
4643,yalgoo,2014,405
4644,yalgoo,2015,378
4645,yalgoo,2016,350
4646,yalgoo,2017,358
4647,yalgoo,2018,361
4648,yalgoo,2019,361
4649,yalgoo,2020,358
4650,yalgoo,2021,364
4651,yalgoo,2022,365
4652,yalgoo,2023,357
4653,burdekin,2013,17754
4654,burdekin,2014,17695
4655,burdekin,2015,17566
4656,burdekin,2016,17326
4657,burdekin,2017,17224
4658,burdekin,2018,17086
4659,burdekin,2019,17003
4660,burdekin,2020,16934
4661,burdekin,2021,16836
4662,burdekin,2022,16868
4663,burdekin,2023,17020
4664,mount marshall,2013,523
4665,mount marshall,2014,528
4666,mount marshall,2015,531
4667,mount marshall,2016,533
4668,mount marshall,2017,520
4669,mount marshall,2018,504
4670,mount marshall,2019,494
4671,mount marshall,2020,479
4672,mount marshall,2021,467
4673,mount marshall,2022,463
4674,mount marshall,2023,461
4675,peppermint grove,2013,1694
4676,peppermint grove,2014,1707
4677,peppermint grove,2015,1709
4678,peppermint grove,2016,1708
4679,peppermint grove,2017,1692
4680,peppermint grove,2018,1675
4681,peppermint grove,2019,1661
4682,peppermint grove,2020,1661
4683,peppermint grove,2021,1638
4684,peppermint grove,2022,1638
4685,peppermint grove,2023,1736
4686,the hills shire,2013,152429
4687,the hills shire,2014,155366
4688,the hills shire,2015,158941
4689,the hills shire,2016,162975
4690,the hills shire,2017,168400
4691,the hills shire,2018,173067
4692,the hills shire,2019,180102
4693,the hills shire,2020,186622
4694,the hills shire,2021,192660
4695,the hills shire,2022,199269
4696,the hills shire,2023,207959
4697,marion,2013,87769
4698,marion,2014,88652
4699,marion,2015,89521
4700,marion,2016,90508
4701,marion,2017,91491
4702,marion,2018,92455
4703,marion,2019,93817
4704,marion,2020,95256
4705,marion,2021,95610
4706,marion,2022,96667
4707,marion,2023,98493
4708,boyup brook,2013,1667
4709,boyup brook,2014,1687
4710,boyup brook,2015,1681
4711,boyup brook,2016,1722
4712,boyup brook,2017,1737
4713,boyup brook,2018,1784
4714,boyup brook,2019,1808
4715,boyup brook,2020,1833
4716,boyup brook,2021,1874
4717,boyup brook,2022,1938
4718,boyup brook,2023,1948
4719,cessnock,2013,54303
4720,cessnock,2014,55103
4721,cessnock,2015,55888
4722,cessnock,2016,56720
4723,cessnock,2017,57921
4724,cessnock,2018,59649
4725,cessnock,2019,60823
4726,cessnock,2020,62431
4727,cessnock,2021,64120
4728,cessnock,2022,65875
4729,cessnock,2023,67591
4730,waratah-wynyard,2013,14083
4731,waratah-wynyard,2014,14014
4732,waratah-wynyard,2015,13903
4733,waratah-wynyard,2016,13813
4734,waratah-wynyard,2017,13884
4735,waratah-wynyard,2018,14033
4736,waratah-wynyard,2019,14178
4737,waratah-wynyard,2020,14341
4738,waratah-wynyard,2021,14629
4739,waratah-wynyard,2022,14688
4740,waratah-wynyard,2023,14767
4741,sydney,2013,196318
4742,sydney,2014,204516
4743,sydney,2015,214037
4744,sydney,2016,222717
4745,sydney,2017,227997
4746,sydney,2018,229284
4747,sydney,2019,229596
4748,sydney,2020,227250
4749,sydney,2021,214703
4750,sydney,2022,218275
4751,sydney,2023,231086
4752,frankston,2013,134351
4753,frankston,2014,136181
4754,frankston,2015,137790
4755,frankston,2016,139502
4756,frankston,2017,140601
4757,frankston,2018,141531
4758,frankston,2019,141970
4759,frankston,2020,142191
4760,frankston,2021,140824
4761,frankston,2022,141161
4762,frankston,2023,142826
4763,somerset,2013,23619
4764,somerset,2014,24459
4765,somerset,2015,24681
4766,somerset,2016,25153
4767,somerset,2017,25286
4768,somerset,2018,25326
4769,somerset,2019,25355
4770,somerset,2020,25322
4771,somerset,2021,25388
4772,somerset,2022,25711
4773,somerset,2023,26251
4774,coorow,2013,1099
4775,coorow,2014,1086
4776,coorow,2015,1077
4777,coorow,2016,1058
4778,coorow,2017,1065
4779,coorow,2018,1059
4780,coorow,2019,1066
4781,coorow,2020,1076
4782,coorow,2021,1091
4783,coorow,2022,1092
4784,coorow,2023,1107
4785,alice springs,2013,28124
4786,alice springs,2014,27486
4787,alice springs,2015,26843
4788,alice springs,2016,26518
4789,alice springs,2017,26889
4790,alice springs,2018,27223
4791,alice springs,2019,27600
4792,alice springs,2020,28029
4793,alice springs,2021,28483
4794,alice springs,2022,28859
4795,alice springs,2023,29213
4796,richmond,2013,839
4797,richmond,2014,838
4798,richmond,2015,820
4799,richmond,2016,806
4800,richmond,2017,791
4801,richmond,2018,785
4802,richmond,2019,777
4803,richmond,2020,769
4804,richmond,2021,769
4805,richmond,2022,777
4806,richmond,2023,781
4807,williams,2013,977
4808,williams,2014,993
4809,williams,2015,1005
4810,williams,2016,1000
4811,williams,2017,1026
4812,williams,2018,1033
4813,williams,2019,1025
4814,williams,2020,1035
4815,williams,2021,1050
4816,williams,2022,1053
4817,williams,2023,1060
4818,hawkesbury,2013,65145
4819,hawkesbury,2014,65503
4820,hawkesbury,2015,65890
4821,hawkesbury,2016,66346
4822,hawkesbury,2017,66708
4823,hawkesbury,2018,66989
4824,hawkesbury,2019,67244
4825,hawkesbury,2020,67578
4826,hawkesbury,2021,67605
4827,hawkesbury,2022,67862
4828,hawkesbury,2023,68156
4829,temora,2013,6055
4830,temora,2014,6098
4831,temora,2015,6165
4832,temora,2016,6210
4833,temora,2017,6162
4834,temora,2018,6138
4835,temora,2019,6116
4836,temora,2020,6077
4837,temora,2021,6013
4838,temora,2022,5995
4839,temora,2023,6029
4840,whitehorse,2013,162081
4841,whitehorse,2014,164320
4842,whitehorse,2015,166679
4843,whitehorse,2016,169641
4844,whitehorse,2017,172376
4845,whitehorse,2018,174431
4846,whitehorse,2019,175862
4847,whitehorse,2020,176794
4848,whitehorse,2021,171077
4849,whitehorse,2022,172607
4850,whitehorse,2023,178639
4851,cairns,2013,156764
4852,cairns,2014,158574
4853,cairns,2015,159944
4854,cairns,2016,161573
4855,cairns,2017,163806
4856,cairns,2018,165716
4857,cairns,2019,167149
4858,cairns,2020,168710
4859,cairns,2021,169250
4860,cairns,2022,171985
4861,cairns,2023,175398
4862,mundaring,2013,39644
4863,mundaring,2014,39651
4864,mundaring,2015,39563
4865,mundaring,2016,39217
4866,mundaring,2017,39161
4867,mundaring,2018,39494
4868,mundaring,2019,39877
4869,mundaring,2020,40360
4870,mundaring,2021,40539
4871,mundaring,2022,40517
4872,mundaring,2023,41421
4873,vincent,2013,35442
4874,vincent,2014,35631
4875,vincent,2015,35663
4876,vincent,2016,35674
4877,vincent,2017,35856
4878,vincent,2018,36282
4879,vincent,2019,36892
4880,vincent,2020,37717
4881,vincent,2021,37833
4882,vincent,2022,38504
4883,vincent,2023,40125
4884,george town,2013,6838
4885,george town,2014,6854
4886,george town,2015,6857
4887,george town,2016,6873
4888,george town,2017,6914
4889,george town,2018,6958
4890,george town,2019,7020
4891,george town,2020,7186
4892,george town,2021,7206
4893,george town,2022,7267
4894,george town,2023,7330
4895,west tamar,2013,22851
4896,west tamar,2014,22921
4897,west tamar,2015,23007
4898,west tamar,2016,23092
4899,west tamar,2017,23600
4900,west tamar,2018,24091
4901,west tamar,2019,24602
4902,west tamar,2020,25123
4903,west tamar,2021,25717
4904,west tamar,2022,25931
4905,west tamar,2023,26039
4906,clare and gilbert valleys,2013,9068
4907,clare and gilbert valleys,2014,9138
4908,clare and gilbert valleys,2015,9204
4909,clare and gilbert valleys,2016,9244
4910,clare and gilbert valleys,2017,9261
4911,clare and gilbert valleys,2018,9300
4912,clare and gilbert valleys,2019,9336
4913,clare and gilbert valleys,2020,9379
4914,clare and gilbert valleys,2021,9363
4915,clare and gilbert valleys,2022,9381
4916,clare and gilbert valleys,2023,9405
4917,lithgow,2013,21118
4918,lithgow,2014,21283
4919,lithgow,2015,21400
4920,lithgow,2016,21484
4921,lithgow,2017,21419
4922,lithgow,2018,21344
4923,lithgow,2019,21216
4924,lithgow,2020,21063
4925,lithgow,2021,20855
4926,lithgow,2022,20811
4927,lithgow,2023,20724
4928,strathfield,2013,38918
4929,strathfield,2014,40301
4930,strathfield,2015,41276
4931,strathfield,2016,42415
4932,strathfield,2017,43679
4933,strathfield,2018,44663
4934,strathfield,2019,45895
4935,strathfield,2020,46417
4936,strathfield,2021,45963
4937,strathfield,2022,46250
4938,strathfield,2023,47824
4939,knox,2013,156347
4940,knox,2014,157434
4941,knox,2015,158700
4942,knox,2016,160353
4943,knox,2017,161525
4944,knox,2018,162459
4945,knox,2019,163308
4946,knox,2020,163242
4947,knox,2021,160481
4948,knox,2022,159549
4949,knox,2023,161766
4950,wudinna,2013,1272
4951,wudinna,2014,1276
4952,wudinna,2015,1279
4953,wudinna,2016,1279
4954,wudinna,2017,1261
4955,wudinna,2018,1231
4956,wudinna,2019,1205
4957,wudinna,2020,1185
4958,wudinna,2021,1163
4959,wudinna,2022,1162
4960,wudinna,2023,1161
4961,bourke,2013,2903
4962,bourke,2014,2870
4963,bourke,2015,2801
4964,bourke,2016,2762
4965,bourke,2017,2695
4966,bourke,2018,2600
4967,bourke,2019,2534
4968,bourke,2020,2483
4969,bourke,2021,2416
4970,bourke,2022,2348
4971,bourke,2023,2365
4972,goomalling,2013,1038
4973,goomalling,2014,1044
4974,goomalling,2015,1050
4975,goomalling,2016,1045
4976,goomalling,2017,1033
4977,goomalling,2018,1018
4978,goomalling,2019,1006
4979,goomalling,2020,997
4980,goomalling,2021,983
4981,goomalling,2022,984
4982,goomalling,2023,987
4983,longreach,2013,4104
4984,longreach,2014,4027
4985,longreach,2015,3812
4986,longreach,2016,3727
4987,longreach,2017,3661
4988,longreach,2018,3653
4989,longreach,2019,3654
4990,longreach,2020,3651
4991,longreach,2021,3691
4992,longreach,2022,3721
4993,longreach,2023,3737
4994,brookton,2013,998
4995,brookton,2014,1018
4996,brookton,2015,1010
4997,brookton,2016,1002
4998,brookton,2017,988
4999,brookton,2018,969
5000,brookton,2019,959
5001,brookton,2020,970
5002,brookton,2021,961
5003,brookton,2022,954
5004,brookton,2023,955
5005,cue,2013,272
5006,cue,2014,251
5007,cue,2015,226
5008,cue,2016,199
5009,cue,2017,194
5010,cue,2018,181
5011,cue,2019,194
5012,cue,2020,207
5013,cue,2021,228
5014,cue,2022,230
5015,cue,2023,231
5016,wollongong,2013,204707
5017,wollongong,2014,206415
5018,wollongong,2015,208313
5019,wollongong,2016,210394
5020,wollongong,2017,212188
5021,wollongong,2018,213480
5022,wollongong,2019,214552
5023,wollongong,2020,215063
5024,wollongong,2021,214700
5025,wollongong,2022,216444
5026,wollongong,2023,219141
5027,randwick,2013,142459
5028,randwick,2014,144814
5029,randwick,2015,146908
5030,randwick,2016,148922
5031,randwick,2017,149099
5032,randwick,2018,147552
5033,randwick,2019,145287
5034,randwick,2020,142499
5035,randwick,2021,135219
5036,randwick,2022,135750
5037,randwick,2023,141840
5038,monash,2013,183255
5039,monash,2014,186150
5040,monash,2015,189174
5041,monash,2016,192625
5042,monash,2017,195666
5043,monash,2018,198010
5044,monash,2019,199762
5045,monash,2020,200791
5046,monash,2021,192893
5047,monash,2022,195081
5048,monash,2023,203560
5049,stonnington,2013,103487
5050,stonnington,2014,105894
5051,stonnington,2015,108028
5052,stonnington,2016,111003
5053,stonnington,2017,112134
5054,stonnington,2018,113340
5055,stonnington,2019,113800
5056,stonnington,2020,112610
5057,stonnington,2021,106190
5058,stonnington,2022,106524
5059,stonnington,2023,111335
5060,dowerin,2013,707
5061,dowerin,2014,706
5062,dowerin,2015,706
5063,dowerin,2016,699
5064,dowerin,2017,711
5065,dowerin,2018,708
5066,dowerin,2019,714
5067,dowerin,2020,726
5068,dowerin,2021,733
5069,dowerin,2022,733
5070,dowerin,2023,738
5071,wongan-ballidu,2013,1474
5072,wongan-ballidu,2014,1433
5073,wongan-ballidu,2015,1393
5074,wongan-ballidu,2016,1354
5075,wongan-ballidu,2017,1356
5076,wongan-ballidu,2018,1331
5077,wongan-ballidu,2019,1327
5078,wongan-ballidu,2020,1341
5079,wongan-ballidu,2021,1336
5080,wongan-ballidu,2022,1340
5081,wongan-ballidu,2023,1336
5082,mid murray,2013,8448
5083,mid murray,2014,8599
5084,mid murray,2015,8718
5085,mid murray,2016,8845
5086,mid murray,2017,8987
5087,mid murray,2018,9090
5088,mid murray,2019,9182
5089,mid murray,2020,9268
5090,mid murray,2021,9355
5091,mid murray,2022,9415
5092,mid murray,2023,9496
5093,kulin,2013,831
5094,kulin,2014,804
5095,kulin,2015,787
5096,kulin,2016,783
5097,kulin,2017,779
5098,kulin,2018,781
5099,kulin,2019,781
5100,kulin,2020,792
5101,kulin,2021,789
5102,kulin,2022,783
5103,kulin,2023,794
5104,blue mountains,2013,78705
5105,blue mountains,2014,78867
5106,blue mountains,2015,78889
5107,blue mountains,2016,78835
5108,blue mountains,2017,78989
5109,blue mountains,2018,79107
5110,blue mountains,2019,79077
5111,blue mountains,2020,79031
5112,blue mountains,2021,78372
5113,blue mountains,2022,77913
5114,blue mountains,2023,78446
5115,pyrenees,2013,6938
5116,pyrenees,2014,7047
5117,pyrenees,2015,7179
5118,pyrenees,2016,7316
5119,pyrenees,2017,7325
5120,pyrenees,2018,7327
5121,pyrenees,2019,7449
5122,pyrenees,2020,7544
5123,pyrenees,2021,7619
5124,pyrenees,2022,7653
5125,pyrenees,2023,7786
5126,roxby downs,2013,4609
5127,roxby downs,2014,4418
5128,roxby downs,2015,4327
5129,roxby downs,2016,4052
5130,roxby downs,2017,4048
5131,roxby downs,2018,4100
5132,roxby downs,2019,4103
5133,roxby downs,2020,4137
5134,roxby downs,2021,4109
5135,roxby downs,2022,4103
5136,roxby downs,2023,4113
5137,brighton,2013,16046
5138,brighton,2014,16221
5139,brighton,2015,16448
5140,brighton,2016,16669
5141,brighton,2017,17060
5142,brighton,2018,17501
5143,brighton,2019,17995
5144,brighton,2020,18501
5145,brighton,2021,19261
5146,brighton,2022,19688
5147,brighton,2023,19998
5148,berrigan,2013,8436
5149,berrigan,2014,8519
5150,berrigan,2015,8568
5151,berrigan,2016,8609
5152,berrigan,2017,8638
5153,berrigan,2018,8645
5154,berrigan,2019,8649
5155,berrigan,2020,8653
5156,berrigan,2021,8615
5157,berrigan,2022,8652
5158,berrigan,2023,8643
5159,cumberland,2013,212450
5160,cumberland,2014,216864
5161,cumberland,2015,221152
5162,cumberland,2016,225691
5163,cumberland,2017,231490
5164,cumberland,2018,235878
5165,cumberland,2019,240090
5166,cumberland,2020,240841
5167,cumberland,2021,237083
5168,cumberland,2022,237481
5169,cumberland,2023,245323
5170,redland,2013,147328
5171,redland,2014,148833
5172,redland,2015,150107
5173,redland,2016,152216
5174,redland,2017,154656
5175,redland,2018,156885
5176,redland,2019,158937
5177,redland,2020,160418
5178,redland,2021,161709
5179,redland,2022,163729
5180,redland,2023,166809
5181,corangamite,2013,16410
5182,corangamite,2014,16340
5183,corangamite,2015,16274
5184,corangamite,2016,16243
5185,corangamite,2017,16279
5186,corangamite,2018,16231
5187,corangamite,2019,16171
5188,corangamite,2020,16108
5189,corangamite,2021,16030
5190,corangamite,2022,15999
5191,corangamite,2023,15948
5192,joondalup,2013,164414
5193,joondalup,2014,163894
5194,joondalup,2015,162904
5195,joondalup,2016,160918
5196,joondalup,2017,161057
5197,joondalup,2018,161479
5198,joondalup,2019,162308
5199,joondalup,2020,164044
5200,joondalup,2021,165050
5201,joondalup,2022,165649
5202,joondalup,2023,169657
5203,banyule,2013,124314
5204,banyule,2014,125107
5205,banyule,2015,126088
5206,banyule,2016,127447
5207,banyule,2017,128660
5208,banyule,2018,129645
5209,banyule,2019,130607
5210,banyule,2020,130294
5211,banyule,2021,127370
5212,banyule,2022,127427
5213,banyule,2023,129602
5214,cloncurry,2013,3327
5215,cloncurry,2014,3270
5216,cloncurry,2015,3179
5217,cloncurry,2016,3125
5218,cloncurry,2017,3260
5219,cloncurry,2018,3351
5220,cloncurry,2019,3442
5221,cloncurry,2020,3528
5222,cloncurry,2021,3704
5223,cloncurry,2022,3788
5224,cloncurry,2023,3851
5225,burwood,2013,36145
5226,burwood,2014,37200
5227,burwood,2015,37822
5228,burwood,2016,38536
5229,burwood,2017,39275
5230,burwood,2018,39773
5231,burwood,2019,40333
5232,burwood,2020,40670
5233,burwood,2021,40440
5234,burwood,2022,40850
5235,burwood,2023,42498
5236,queenscliffe,2013,3002
5237,queenscliffe,2014,2970
5238,queenscliffe,2015,2933
5239,queenscliffe,2016,2929
5240,queenscliffe,2017,2923
5241,queenscliffe,2018,2954
5242,queenscliffe,2019,2973
5243,queenscliffe,2020,3095
5244,queenscliffe,2021,3236
5245,queenscliffe,2022,3221
5246,queenscliffe,2023,3238
5247,goondiwindi,2013,10952
5248,goondiwindi,2014,10902
5249,goondiwindi,2015,10835
5250,goondiwindi,2016,10813
5251,goondiwindi,2017,10747
5252,goondiwindi,2018,10648
5253,goondiwindi,2019,10603
5254,goondiwindi,2020,10516
5255,goondiwindi,2021,10400
5256,goondiwindi,2022,10408
5257,goondiwindi,2023,10452
5258,mitchell,2013,37788
5259,mitchell,2014,39084
5260,mitchell,2015,40264
5261,mitchell,2016,41795
5262,mitchell,2017,43045
5263,mitchell,2018,44556
5264,mitchell,2019,46373
5265,mitchell,2020,48073
5266,mitchell,2021,49712
5267,mitchell,2022,51682
5268,mitchell,2023,53723
5269,mandurah,2013,79292
5270,mandurah,2014,80927
5271,mandurah,2015,82202
5272,mandurah,2016,83322
5273,mandurah,2017,84912
5274,mandurah,2018,86708
5275,mandurah,2019,88698
5276,mandurah,2020,91112
5277,mandurah,2021,93412
5278,mandurah,2022,95622
5279,mandurah,2023,99272
5280,lockhart river,2013,626
5281,lockhart river,2014,671
5282,lockhart river,2015,697
5283,lockhart river,2016,746
5284,lockhart river,2017,727
5285,lockhart river,2018,708
5286,lockhart river,2019,693
5287,lockhart river,2020,673
5288,lockhart river,2021,653
5289,lockhart river,2022,656
5290,lockhart river,2023,673
5291,donnybrook-balingup,2013,5803
5292,donnybrook-balingup,2014,5903
5293,donnybrook-balingup,2015,5949
5294,donnybrook-balingup,2016,5956
5295,donnybrook-balingup,2017,6015
5296,donnybrook-balingup,2018,6072
5297,donnybrook-balingup,2019,6131
5298,donnybrook-balingup,2020,6205
5299,donnybrook-balingup,2021,6312
5300,donnybrook-balingup,2022,6401
5301,donnybrook-balingup,2023,6438
5302,manjimup,2013,9482
5303,manjimup,2014,9448
5304,manjimup,2015,9402
5305,manjimup,2016,9341
5306,manjimup,2017,9302
5307,manjimup,2018,9253
5308,manjimup,2019,9258
5309,manjimup,2020,9317
5310,manjimup,2021,9351
5311,manjimup,2022,9412
5312,manjimup,2023,9438
5313,alpine,2013,12283
5314,alpine,2014,12355
5315,alpine,2015,12429
5316,alpine,2016,12578
5317,alpine,2017,12687
5318,alpine,2018,12822
5319,alpine,2019,12904
5320,alpine,2020,13054
5321,alpine,2021,13166
5322,alpine,2022,13191
5323,alpine,2023,13182
5324,anangu pitjantjatjara yankunytjatjara,2013,2622
5325,anangu pitjantjatjara yankunytjatjara,2014,2605
5326,anangu pitjantjatjara yankunytjatjara,2015,2568
5327,anangu pitjantjatjara yankunytjatjara,2016,2498
5328,anangu pitjantjatjara yankunytjatjara,2017,2476
5329,anangu pitjantjatjara yankunytjatjara,2018,2491
5330,anangu pitjantjatjara yankunytjatjara,2019,2506
5331,anangu pitjantjatjara yankunytjatjara,2020,2515
5332,anangu pitjantjatjara yankunytjatjara,2021,2554
5333,anangu pitjantjatjara yankunytjatjara,2022,2598
5334,anangu pitjantjatjara yankunytjatjara,2023,2632
5335,exmouth,2013,2655
5336,exmouth,2014,2717
5337,exmouth,2015,2749
5338,exmouth,2016,2788
5339,exmouth,2017,2871
5340,exmouth,2018,2949
5341,exmouth,2019,3036
5342,exmouth,2020,3151
5343,exmouth,2021,3202
5344,exmouth,2022,3315
5345,exmouth,2023,3466
5346,alexandrina,2013,25203
5347,alexandrina,2014,25705
5348,alexandrina,2015,26203
5349,alexandrina,2016,26562
5350,alexandrina,2017,26919
