,Local Government Area,Year,"Rate per 100,000 population"
760,yarra,2015,14087.60828709
761,yarra,2016,14893.319267122
762,yarra,2017,14210.130895315
763,yarra,2018,14436.044563578
764,yarra,2019,13654.913821677
765,yarra,2020,14629.326933024
766,yarra,2021,14508.145671485
767,yarra,2022,13448.134037579
768,yarra,2023,12913.553895411
769,yarra,2024,13543.60369278
866,yarra,2025,13772.111506962547
945,yarra,2026,13617.871127056933
1024,yarra,2027,13721.981767117684
770,yarra ranges,2015,4609.136129238
771,yarra ranges,2016,5692.345354515
772,yarra ranges,2017,5450.04339613
773,yarra ranges,2018,4989.893485575
774,yarra ranges,2019,5347.570002205
775,yarra ranges,2020,5494.22190891
776,yarra ranges,2021,5416.685194479
777,yarra ranges,2022,4444.740802835
778,yarra ranges,2023,4639.746934352
779,yarra ranges,2024,4430.096774867
867,yarra ranges,2025,4306.713999774803
946,yarra ranges,2026,4317.134960975661
1025,yarra ranges,2027,4316.254802199294
780,yarriambiack,2015,5523.000292997
781,yarriambiack,2016,7415.097137773
782,yarriambiack,2017,6768.038163387
783,yarriambiack,2018,7808.300985369
784,yarriambiack,2019,6082.397003745
785,yarriambiack,2020,8312.001204638
786,yarriambiack,2021,6298.003072197
787,yarriambiack,2022,6571.384185179
788,yarriambiack,2023,7168.570981374
789,yarriambiack,2024,8609.398033987
868,yarriambiack,2025,8391.308655750458
947,yarriambiack,2026,8525.497955967418
1026,yarriambiack,2027,8442.931952807066
